,Last Name,First Name,Email,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework score,Quizes score,Total Score
0,Bennett,Richard,richard.bennett@univ.edu,10,6,9,8,10,76.0,80.0,75.0,80.0,77.0,80.0,68.0,100.0,49.0,70.0,80.0,90.0,34.0,50.0,45.0,70.0,57.0,60.0,53.0,60.0,66.0,100.0,97.0,100.0,88.0,100.0,0.66,0.97,0.88,0.8297297297297297,0.6231884057971014,77.0
1,Parker,Timothy,timothy.parker@univ.edu,9,14,13,14,10,50.0,80.0,76.0,80.0,65.0,80.0,72.0,100.0,68.0,70.0,65.0,90.0,42.0,50.0,50.0,70.0,43.0,60.0,59.0,60.0,73.0,100.0,93.0,100.0,66.0,100.0,0.73,0.93,0.66,0.7972972972972973,0.8695652173913043,82.0
2,Reyes,Carol,carol.reyes@univ.edu,5,15,8,14,6,75.0,80.0,80.0,80.0,66.0,80.0,62.0,100.0,60.0,70.0,66.0,90.0,37.0,50.0,65.0,70.0,44.0,60.0,51.0,60.0,99.0,100.0,91.0,100.0,90.0,100.0,0.99,0.91,0.9,0.8189189189189189,0.6956521739130435,82.0
3,Powers,Brooke,brooke.powers@univ.edu,6,10,17,10,8,80.0,80.0,60.0,80.0,53.0,80.0,66.0,100.0,46.0,70.0,85.0,90.0,45.0,50.0,54.0,70.0,44.0,60.0,57.0,60.0,77.0,100.0,87.0,100.0,90.0,100.0,0.77,0.87,0.9,0.7972972972972973,0.7391304347826086,80.0
4,Taylor,Michael,michael.taylor@univ.edu,5,15,13,12,5,58.0,80.0,60.0,80.0,50.0,80.0,72.0,100.0,46.0,70.0,68.0,90.0,37.0,50.0,49.0,70.0,47.0,60.0,36.0,60.0,91.0,100.0,68.0,100.0,66.0,100.0,0.91,0.68,0.66,0.7067567567567568,0.7246376811594203,73.0
5,Bailey,Belinda,belinda.bailey@univ.edu,6,10,9,14,4,60.0,80.0,74.0,80.0,55.0,80.0,76.0,100.0,64.0,70.0,83.0,90.0,44.0,50.0,45.0,70.0,50.0,60.0,58.0,60.0,83.0,100.0,95.0,100.0,87.0,100.0,0.83,0.95,0.87,0.822972972972973,0.6231884057971014,79.0
6,Stevens,Marcia,marcia.stevens@univ.edu,7,15,17,10,12,51.0,80.0,72.0,80.0,60.0,80.0,84.0,100.0,68.0,70.0,73.0,90.0,50.0,50.0,65.0,70.0,59.0,60.0,59.0,60.0,63.0,100.0,99.0,100.0,83.0,100.0,0.63,0.99,0.83,0.8662162162162163,0.8840579710144928,86.0
7,Faulkner,Katelyn,katelyn.faulkner@univ.edu,6,12,17,14,6,65.0,80.0,65.0,80.0,55.0,80.0,90.0,100.0,69.0,70.0,65.0,90.0,34.0,50.0,69.0,70.0,44.0,60.0,42.0,60.0,68.0,100.0,60.0,100.0,61.0,100.0,0.68,0.6,0.61,0.8081081081081081,0.7971014492753623,76.0
8,Daniel,William,william.daniel@univ.edu,9,10,10,9,5,48.0,80.0,60.0,80.0,72.0,80.0,76.0,100.0,65.0,70.0,60.0,90.0,38.0,50.0,62.0,70.0,51.0,60.0,36.0,60.0,84.0,100.0,91.0,100.0,95.0,100.0,0.84,0.91,0.95,0.7675675675675676,0.6231884057971014,77.0
9,Johnson,Dylan,dylan.johnson@univ.edu,6,9,15,5,10,61.0,80.0,48.0,80.0,59.0,80.0,71.0,100.0,42.0,70.0,75.0,90.0,50.0,50.0,49.0,70.0,36.0,60.0,50.0,60.0,72.0,100.0,64.0,100.0,99.0,100.0,0.72,0.64,0.99,0.731081081081081,0.6521739130434783,73.0
10,Thomas,Sandra,sandra.thomas@univ.edu,9,10,14,8,4,65.0,80.0,66.0,80.0,67.0,80.0,68.0,100.0,69.0,70.0,65.0,90.0,39.0,50.0,64.0,70.0,41.0,60.0,38.0,60.0,88.0,100.0,62.0,100.0,96.0,100.0,0.88,0.62,0.96,0.7864864864864864,0.6521739130434783,76.0
